"2022-03-01 at 12:23"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
12:23:26 0.05 51.76 101.63
12:23:27 0.76 51.73 101.63
12:23:28 0.57 51.73 101.63
12:23:29 0.12 51.76 101.63
12:23:30 0.46 51.76 101.63
12:23:31 0.37 51.76 101.63
12:23:32 -0.01 51.76 101.63
12:23:33 0.59 51.76 101.63
12:23:34 0.45 51.76 101.63
12:23:35 0.18 51.76 101.63
12:23:36 0.35 51.76 101.63
12:23:37 0.33 51.76 101.61
12:23:38 0.50 51.76 101.61
12:23:39 0.45 51.76 101.61
12:23:40 -0.28 51.73 101.63
12:23:41 0.30 51.73 101.63
12:23:42 0.41 51.76 101.63
12:23:43 0.26 51.76 101.63
12:23:44 0.33 51.76 101.63
12:23:45 0.24 51.76 101.63
12:23:46 0.38 51.76 101.63
12:23:47 -0.06 51.76 101.63
12:23:48 0.67 51.76 101.63
12:23:49 -0.24 51.76 101.63
12:23:50 0.37 51.73 101.63
12:23:51 0.13 51.73 101.61
12:23:52 0.19 51.73 101.63
12:23:53 0.12 51.73 101.63
12:23:54 0.36 51.76 101.63
12:23:55 0.05 51.76 101.63
12:23:56 0.10 51.76 101.63
12:23:57 0.22 51.76 101.63
12:23:58 0.12 51.76 101.63
12:23:59 0.44 51.73 101.63
12:24:00 0.35 51.73 101.63
12:24:01 0.22 51.73 101.61
12:24:02 0.01 51.76 101.63
12:24:03 0.32 51.76 101.63
12:24:04 0.08 51.76 101.63
12:24:05 0.57 51.76 101.63
12:24:06 0.00 51.73 101.63
12:24:07 0.39 51.73 101.63
12:24:08 0.01 51.73 101.61
12:24:09 0.09 51.73 101.63
12:24:10 -0.25 51.76 101.63
12:24:11 0.57 51.76 101.61
12:24:12 0.10 51.76 101.63
12:24:13 0.14 51.76 101.61
12:24:14 0.36 51.76 101.63
12:24:15 0.11 51.76 101.63
12:24:16 -0.10 51.76 101.61
12:24:17 -0.12 51.76 101.63
12:24:18 0.58 51.73 101.63
12:24:19 0.05 51.73 101.63
12:24:20 0.15 51.76 101.61
12:24:21 0.40 51.73 101.63
12:24:22 0.32 51.73 101.63
12:24:23 0.17 51.73 101.63
12:24:24 -0.09 51.73 101.63
12:24:25 0.01 51.73 101.61
