"2022-03-30 at 11:05"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
11:05:35 1.19 51.76 101.76
11:05:36 0.98 51.76 101.76
11:05:37 1.02 51.76 101.76
11:05:38 1.15 51.76 101.76
11:05:39 0.71 51.76 101.76
11:05:40 0.92 51.76 101.74
11:05:41 0.89 51.76 101.76
11:05:42 0.82 51.76 101.76
11:05:43 0.93 51.76 101.76
11:05:44 1.09 51.76 101.76
11:05:45 0.94 51.76 101.76
11:05:46 0.87 51.76 101.76
11:05:47 0.92 51.76 101.76
11:05:48 1.27 51.76 101.76
11:05:49 0.67 51.76 101.76
11:05:50 1.00 51.76 101.76
11:05:51 0.96 51.76 101.76
11:05:52 0.92 51.76 101.76
11:05:53 0.80 51.76 101.76
11:05:54 0.93 51.76 101.76
11:05:55 0.90 51.76 101.76
11:05:56 0.77 51.76 101.76
11:05:57 0.91 51.76 101.74
11:05:58 0.82 51.76 101.74
11:05:59 0.97 51.76 101.76
11:06:01 1.00 51.76 101.76
11:06:02 0.66 51.76 101.78
11:06:03 0.81 51.76 101.76
11:06:04 0.93 51.76 101.76
11:06:05 1.22 51.76 101.76
11:06:06 0.77 51.76 101.76
11:06:07 0.93 51.76 101.76
11:06:08 0.71 51.76 101.76
11:06:09 0.92 51.76 101.76
11:06:10 1.07 51.76 101.76
11:06:11 1.00 51.76 101.76
11:06:12 0.60 51.76 101.76
11:06:13 0.28 51.76 101.76
11:06:14 3.39 51.76 101.76
11:06:15 27.10 51.76 101.76
11:06:16 110.95 51.76 101.76
11:06:17 266.52 51.76 101.76
11:06:18 467.07 51.76 101.76
11:06:19 667.18 51.76 101.76
11:06:20 843.78 51.76 101.76
11:06:21 993.86 51.76 101.76
11:06:22 1120.79 51.76 101.76
11:06:23 1225.79 51.76 101.76
11:06:24 1302.05 51.76 101.76
11:06:25 1343.08 51.76 101.76
11:06:26 1335.63 51.76 101.76
11:06:27 1313.42 51.76 101.76
11:06:28 1237.54 51.76 101.76
11:06:29 1132.55 51.76 101.76
11:06:30 1010.04 51.76 101.76
11:06:31 887.65 51.76 101.76
11:06:32 771.63 51.73 101.76
11:06:33 667.65 51.73 101.76
11:06:34 576.12 51.73 101.76
11:06:35 495.62 51.76 101.76
11:06:36 427.03 51.76 101.76
11:06:37 367.78 51.76 101.76
11:06:38 318.50 51.76 101.76
11:06:39 274.29 51.76 101.76
11:06:40 237.35 51.76 101.76
11:06:41 205.07 51.76 101.74
11:06:42 177.92 51.76 101.76
11:06:43 154.15 51.76 101.76
11:06:44 134.31 51.76 101.76
11:06:45 116.44 51.76 101.76
11:06:46 101.35 51.76 101.76
11:06:47 87.69 51.76 101.76
11:06:48 77.01 51.76 101.76
11:06:49 67.30 51.76 101.76
11:06:50 58.64 51.76 101.76
11:06:51 50.98 51.73 101.76
11:06:52 44.99 51.73 101.76
11:06:53 38.85 51.76 101.76
11:06:54 34.11 51.76 101.76
11:06:55 29.98 51.76 101.76
11:06:56 25.82 51.76 101.74
11:06:57 22.98 51.76 101.76
11:06:58 20.44 51.76 101.76
11:06:59 18.18 51.76 101.76
11:07:00 15.33 51.76 101.76
11:07:01 14.13 51.76 101.76
11:07:02 12.54 51.76 101.76
11:07:03 11.13 51.76 101.76
11:07:04 9.96 51.76 101.76
11:07:05 8.72 51.76 101.76
11:07:06 7.96 51.73 101.76
11:07:07 6.79 51.73 101.76
11:07:08 6.60 51.76 101.76
11:07:09 5.79 51.76 101.76
11:07:10 5.13 51.76 101.76
11:07:11 4.71 51.76 101.76
11:07:13 4.46 51.76 101.76
11:07:14 4.03 51.76 101.76
11:07:15 3.59 51.73 101.76
11:07:16 3.74 51.73 101.76
11:07:17 3.11 51.73 101.76
11:07:18 3.30 51.73 101.76
11:07:19 2.20 51.76 101.76
11:07:20 2.48 51.76 101.76
11:07:21 2.14 51.76 101.76
11:07:22 2.52 51.76 101.76
