"2022-03-30 at 09:45"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
09:45:50 0.03 51.76 101.79
09:45:51 0.60 51.73 101.79
09:45:52 0.48 51.73 101.79
09:45:53 0.36 51.73 101.79
09:45:54 0.55 51.76 101.79
09:45:55 0.36 51.76 101.79
09:45:56 0.71 51.76 101.79
09:45:57 0.27 51.76 101.79
09:45:58 0.23 51.76 101.77
09:45:59 0.41 51.76 101.79
09:46:00 0.48 51.76 101.79
09:46:01 0.87 51.76 101.79
09:46:02 0.39 51.76 101.77
09:46:03 0.59 51.76 101.79
09:46:04 0.32 51.73 101.79
09:46:05 0.10 51.73 101.79
09:46:06 0.66 51.73 101.79
09:46:07 0.13 51.73 101.79
09:46:08 0.54 51.76 101.77
09:46:09 0.29 51.76 101.79
09:46:10 0.10 51.76 101.79
09:46:11 0.14 51.76 101.77
09:46:12 0.69 51.73 101.79
09:46:13 0.36 51.73 101.79
09:46:14 0.54 51.73 101.79
09:46:15 -0.15 51.73 101.79
09:46:17 0.45 51.73 101.79
09:46:18 0.40 51.73 101.79
09:46:19 0.15 51.73 101.79
09:46:20 0.03 51.73 101.78
09:46:21 0.51 51.73 101.78
09:46:22 0.36 51.73 101.79
09:46:23 0.82 51.73 101.79
09:46:24 -0.01 51.73 101.79
09:46:25 0.22 51.73 101.79
09:46:26 0.55 51.73 101.79
09:46:27 0.22 51.76 101.79
09:46:28 0.35 51.76 101.75
09:46:29 -0.08 51.76 101.78
09:46:30 0.63 51.76 101.79
09:46:31 0.77 51.76 101.79
09:46:32 0.07 51.73 101.78
09:46:33 0.11 51.73 101.78
09:46:34 0.62 51.73 101.78
09:46:35 -0.03 51.73 101.78
09:46:36 0.58 51.73 101.79
09:46:37 0.37 51.73 101.78
09:46:38 0.13 51.73 101.78
09:46:39 0.47 51.76 101.75
09:46:40 0.59 51.76 101.78
09:46:41 0.33 51.73 101.77
09:46:42 0.13 51.73 101.79
09:46:43 0.59 51.73 101.77
09:46:44 0.32 51.73 101.75
09:46:45 0.34 51.73 101.78
09:46:46 0.38 51.73 101.77
09:46:47 0.12 51.73 101.78
09:46:48 0.80 51.73 101.75
09:46:49 0.57 51.73 101.79
09:46:50 -0.03 51.73 101.78
09:46:51 0.21 51.76 101.78
09:46:52 0.21 51.76 101.79
09:46:53 0.90 51.73 101.78
09:46:54 0.12 51.73 101.75
09:46:55 0.32 51.73 101.75
09:46:56 0.66 51.73 101.78
09:46:57 0.45 51.73 101.78
09:46:58 0.09 51.76 101.78
09:46:59 0.81 51.76 101.77
09:47:00 0.58 51.76 101.75
09:47:01 0.45 51.76 101.78
09:47:02 0.27 51.73 101.78
09:47:03 0.22 51.73 101.78
09:47:04 0.40 51.76 101.75
09:47:05 0.73 51.76 101.78
09:47:06 -0.06 51.73 101.75
09:47:07 0.44 51.73 101.78
09:47:08 0.10 51.73 101.79
09:47:09 0.48 51.73 101.79
09:47:10 0.13 51.73 101.78
09:47:11 0.42 51.73 101.75
09:47:12 0.36 51.76 101.79
