date,baseline,sample_ID,plot,treatment,depth,start_end,time,height,std,std_conc,percent_sample,percent_400,cancel,note
2/18/2022,5,std,,,,,3:25 PM,32.7,1,400,,,,
2/18/2022,5,std,,,,,3:26 PM,33.5,1,400,,,,
2/18/2022,5,std,,,,,3:27 PM,33,1,400,,,,
2/18/2022,5,std,,,,,3:28 PM,32.7,1,400,,,,
2/18/2022,5,std,,,,,3:29 PM,33.3,1,400,,,,
2/18/2022,5,std,,,,,3:31 PM,47.1,1,2500,,,1,
2/18/2022,5,std,,,,,3:32 PM,137.6,1,2500,,,1,
2/18/2022,5,std,,,,,3:33 PM,154.2,1,2500,,,1,
2/18/2022,5,std,,,,,3:34 PM,138.8,1,2500,,,1,
2/18/2022,5,std,,,,,3:36 PM,127.6,1,2500,,,1,
2/18/2022,5,std,,,,,3:37 PM,184.5,1,2500,,,,
2/18/2022,5,std,,,,,3:38 PM,181.6,1,2500,,,,
2/18/2022,5,std,,,,,3:39 PM,183.7,1,2500,,,,
2/18/2022,5,std,,,,,3:41 PM,188.6,1,2500,,,,
2/18/2022,5,G,,,,end,3:45 PM,1871.27,,,,,,
2/18/2022,5,G,,,,end,3:50 PM,1898.65,,,,,,
2/18/2022,5,W,,,,end,3:47:00,463.31,,,,,,
2/18/2022,5,V,,,,end,3:52 PM,713.2,,,,,,
2/18/2022,5,S,,,,end,3:54 PM,1211,,,,,,
2/18/2022,5,G,,,,start,3:58 PM,194.1,,,,,,
2/18/2022,5,V,,,,start,3:56 PM,217.3,,,,,,
2/18/2022,5,W,,,,start,4:02 PM,151.1,,,,,,
2/18/2022,5,S,,,,start,4:03 PM,206.4,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
,5,,,,,,,,,,,,,
