ex_date,lab_date,std,std_conc_NH4,std_conc_NO3,plot,treatment,depth,tube_ID,lab_replicate,ammonium_id,nitrate_id,position,cancel_nitrate,cancel_ammonium,notes
,4/15/2022,1,0.00,0.00,,,,,,NH4_4_15_22,NO3_4_15_22,1,,,
,4/15/2022,1,0.25,0.25,,,,,,NH4_4_15_22,NO3_4_15_22,2,,,
,4/15/2022,1,0.50,0.50,,,,,,NH4_4_15_22,NO3_4_15_22,3,,,
,4/15/2022,1,1.00,1.00,,,,,,NH4_4_15_22,NO3_4_15_22,4,,,
,4/15/2022,1,2.00,2.00,,,,,,NH4_4_15_22,NO3_4_15_22,5,,,
,4/15/2022,1,3.00,3.00,,,,,,NH4_4_15_22,NO3_4_15_22,6,,,
,4/15/2022,1,5.00,5.00,,,,,,NH4_4_15_22,NO3_4_15_22,7,,,
,4/15/2022,1,10.00,10.00,,,,,,NH4_4_15_22,NO3_4_15_22,8,,,
,4/15/2022,,,,G,,,X,,NH4_4_15_22,NO3_4_15_22,9,,,
,4/15/2022,,,,S,,,X,,NH4_4_15_22,NO3_4_15_22,10,,,
,4/15/2022,,,,W,,,X,,NH4_4_15_22,NO3_4_15_22,11,,,
,4/15/2022,,,,V,,,X,,NH4_4_15_22,NO3_4_15_22,12,,,
,4/15/2022,,,,Blank,,,X,,NH4_4_15_22,NO3_4_15_22,13,,,
,4/15/2022,,,,G,,,A,,NH4_4_15_22,NO3_4_15_22,14,,,
,4/15/2022,,,,S,,,A,,NH4_4_15_22,NO3_4_15_22,15,,,
,4/15/2022,,,,W,,,A,,NH4_4_15_22,NO3_4_15_22,16,,,
,4/15/2022,,,,V,,,A,,NH4_4_15_22,NO3_4_15_22,17,,,
,4/15/2022,,,,G,,,B,,NH4_4_15_22,NO3_4_15_22,18,,,
,4/15/2022,,,,S,,,B,,NH4_4_15_22,NO3_4_15_22,19,,,
,4/15/2022,,,,W,,,B,,NH4_4_15_22,NO3_4_15_22,20,,,
,4/15/2022,,,,V,,,B,,NH4_4_15_22,NO3_4_15_22,21,,,
,4/15/2022,,,,Blank,,,B,,NH4_4_15_22,NO3_4_15_22,22,,,
,4/15/2022,,,,G,,,C,,NH4_4_15_22,NO3_4_15_22,23,,,
,4/15/2022,,,,S,,,C,,NH4_4_15_22,NO3_4_15_22,24,,,
,4/15/2022,,,,W,,,C,,NH4_4_15_22,NO3_4_15_22,25,,,
,4/15/2022,,,,V,,,C,,NH4_4_15_22,NO3_4_15_22,26,,,
,4/15/2022,,,,Blank,,,C,,NH4_4_15_22,NO3_4_15_22,27,,,
,4/15/2022,,,,G,,,D,,NH4_4_15_22,NO3_4_15_22,28,,,
,4/15/2022,,,,S,,,D,,NH4_4_15_22,NO3_4_15_22,29,,,
,4/15/2022,,,,W,,,D,,NH4_4_15_22,NO3_4_15_22,30,,,
,4/15/2022,,,,V,,,D,,NH4_4_15_22,NO3_4_15_22,31,,,
,4/15/2022,,,,Blank,,,D,,NH4_4_15_22,NO3_4_15_22,32,,,
,4/15/2022,,,,G,,,E,,NH4_4_15_22,NO3_4_15_22,33,,,
,4/15/2022,,,,S,,,E,,NH4_4_15_22,NO3_4_15_22,34,,,
,4/15/2022,,,,W,,,E,,NH4_4_15_22,NO3_4_15_22,35,,,
,4/15/2022,,,,V,,,E,,NH4_4_15_22,NO3_4_15_22,36,,,
,4/15/2022,,,,Blank,,,E,,NH4_4_15_22,NO3_4_15_22,37,,,
,4/15/2022,,,,reagent_blank,,,reagent_blank,,NH4_4_15_22,NO3_4_15_22,38,,,
,4/15/2022,,,,reagent_blank,,,reagent_blank,,NH4_4_15_22,NO3_4_15_22,39,,,
,4/15/2022,,,,reagent_blank,,,reagent_blank,,NH4_4_15_22,NO3_4_15_22,40,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
